id,last_price,volume,server_time,source
88,777756000.0,85.05,2024-02-13 11:58:21.196811,indodax
89,777756000.0,85.05,2024-02-13 11:58:22.323334,indodax
90,777756000.0,85.05,2024-02-13 11:58:23.460083,indodax
91,777756000.0,85.05,2024-02-13 11:58:24.536933,indodax
92,777756000.0,85.05,2024-02-13 11:58:25.659040,indodax
93,777756000.0,85.05,2024-02-13 11:58:26.705927,indodax
94,777756000.0,85.05,2024-02-13 11:58:27.753044,indodax
95,777756000.0,85.05,2024-02-13 11:58:28.872787,indodax
96,777756000.0,85.05,2024-02-13 11:58:29.939956,indodax
97,777756000.0,85.05,2024-02-13 11:58:30.998080,indodax
98,777756000.0,85.05,2024-02-13 11:58:32.058164,indodax
99,777006000.0,85.05,2024-02-13 11:58:33.213755,indodax
100,777756000.0,85.05,2024-02-13 11:58:34.268927,indodax
101,777006000.0,85.05,2024-02-13 11:58:35.375313,indodax
102,777006000.0,85.05,2024-02-13 11:58:36.422712,indodax
103,777006000.0,85.05,2024-02-13 11:58:37.507195,indodax
104,777006000.0,85.05,2024-02-13 11:58:38.638438,indodax
105,777006000.0,85.05,2024-02-13 11:58:39.693125,indodax
106,777006000.0,85.05,2024-02-13 11:58:40.753091,indodax
107,777756000.0,85.05,2024-02-13 11:58:41.851955,indodax
108,777756000.0,85.05,2024-02-13 11:58:42.967595,indodax
109,777756000.0,85.05,2024-02-13 11:58:44.041291,indodax
110,777755000.0,85.05,2024-02-13 11:58:45.168189,indodax
111,777756000.0,85.05,2024-02-13 11:58:46.221303,indodax
112,777755000.0,85.05,2024-02-13 11:58:47.286321,indodax
113,777755000.0,85.05,2024-02-13 11:58:48.421512,indodax
114,777755000.0,85.05,2024-02-13 11:58:49.485416,indodax
115,777755000.0,85.05,2024-02-13 11:58:50.617062,indodax
116,777755000.0,85.05,2024-02-13 11:58:51.708511,indodax
117,777755000.0,85.05,2024-02-13 11:58:52.798489,indodax
118,777755000.0,85.05,2024-02-13 11:58:53.861007,indodax
119,777755000.0,85.05,2024-02-13 11:58:54.905888,indodax
120,777755000.0,85.05,2024-02-13 11:58:55.960034,indodax
121,777755000.0,85.05,2024-02-13 11:58:57.021625,indodax
122,777755000.0,85.05,2024-02-13 11:58:58.149628,indodax
123,777755000.0,85.05,2024-02-13 11:58:59.255156,indodax
124,777755000.0,85.05,2024-02-13 11:59:00.320441,indodax
125,777755000.0,85.05,2024-02-13 11:59:01.463649,indodax
126,777755000.0,85.05,2024-02-13 11:59:02.522165,indodax
127,777755000.0,85.05,2024-02-13 11:59:03.595688,indodax
128,777755000.0,85.1,2024-02-13 11:59:04.721846,indodax
129,777755000.0,85.05,2024-02-13 11:59:05.867873,indodax
130,777755000.0,85.1,2024-02-13 11:59:06.939189,indodax
131,777755000.0,85.1,2024-02-13 11:59:07.989019,indodax
132,777755000.0,85.1,2024-02-13 11:59:09.118065,indodax
133,777755000.0,85.1,2024-02-13 11:59:10.193949,indodax
134,777755000.0,85.1,2024-02-13 11:59:11.330792,indodax
135,777755000.0,85.1,2024-02-13 11:59:12.403892,indodax
136,777755000.0,85.1,2024-02-13 11:59:13.456472,indodax
137,777755000.0,85.1,2024-02-13 11:59:14.524279,indodax
138,777755000.0,85.1,2024-02-13 11:59:15.582305,indodax
139,777755000.0,85.1,2024-02-13 11:59:16.641515,indodax
140,777007000.0,85.1,2024-02-13 11:59:17.770884,indodax
141,777007000.0,85.1,2024-02-13 11:59:18.891126,indodax
142,777007000.0,85.1,2024-02-13 11:59:20.005486,indodax
143,777007000.0,85.1,2024-02-13 11:59:21.071565,indodax
144,777007000.0,85.1,2024-02-13 11:59:22.119424,indodax
145,777007000.0,85.1,2024-02-13 11:59:23.191323,indodax
146,777007000.0,85.1,2024-02-13 11:59:24.295955,indodax
147,777007000.0,85.1,2024-02-13 11:59:25.429797,indodax
148,777007000.0,85.1,2024-02-13 11:59:26.525498,indodax
149,777007000.0,85.1,2024-02-13 11:59:27.582207,indodax
150,777007000.0,85.1,2024-02-13 11:59:28.644671,indodax
151,777007000.0,85.1,2024-02-13 11:59:29.720596,indodax
152,777007000.0,85.1,2024-02-13 11:59:30.777900,indodax
153,777007000.0,85.1,2024-02-13 11:59:31.891303,indodax
154,777007000.0,85.1,2024-02-13 11:59:32.964629,indodax
155,777754000.0,85.1,2024-02-13 11:59:34.090427,indodax
156,777754000.0,85.1,2024-02-13 11:59:35.221672,indodax
157,777007000.0,85.1,2024-02-13 11:59:36.284427,indodax
158,777754000.0,85.1,2024-02-13 11:59:37.333409,indodax
159,777754000.0,85.1,2024-02-13 11:59:38.429368,indodax
160,777754000.0,85.1,2024-02-13 11:59:39.479357,indodax
161,777754000.0,85.1,2024-02-13 11:59:40.593242,indodax
162,777754000.0,85.1,2024-02-13 11:59:41.698282,indodax
163,777754000.0,85.1,2024-02-13 11:59:42.822447,indodax
164,777754000.0,85.1,2024-02-13 11:59:43.873426,indodax
165,777754000.0,85.1,2024-02-13 11:59:44.968281,indodax
166,777754000.0,85.1,2024-02-13 11:59:46.101731,indodax
167,777754000.0,85.1,2024-02-13 11:59:47.212585,indodax
168,777754000.0,85.1,2024-02-13 11:59:48.338384,indodax
169,777754000.0,85.1,2024-02-13 11:59:49.468743,indodax
170,777754000.0,85.1,2024-02-13 11:59:50.593449,indodax
171,777754000.0,85.1,2024-02-13 11:59:51.702750,indodax
172,777754000.0,85.1,2024-02-13 11:59:52.841568,indodax
173,777754000.0,85.1,2024-02-13 11:59:53.908549,indodax
174,777754000.0,85.1,2024-02-13 11:59:54.998998,indodax
175,777754000.0,85.1,2024-02-13 11:59:56.069887,indodax
176,777754000.0,85.1,2024-02-13 11:59:57.205050,indodax
177,777754000.0,85.1,2024-02-13 11:59:58.280405,indodax
178,777754000.0,85.1,2024-02-13 11:59:59.381207,indodax
179,777754000.0,85.1,2024-02-13 12:00:00.509527,indodax
180,777754000.0,85.1,2024-02-13 12:00:01.608496,indodax
181,777753000.0,85.24,2024-02-13 12:00:02.759295,indodax
182,777754000.0,85.1,2024-02-13 12:00:03.840100,indodax
183,777753000.0,85.24,2024-02-13 12:00:04.964368,indodax
184,777753000.0,85.24,2024-02-13 12:00:06.087144,indodax
185,777753000.0,85.24,2024-02-13 12:00:07.152007,indodax
186,777753000.0,85.24,2024-02-13 12:00:08.285053,indodax
187,777752000.0,85.24,2024-02-13 12:00:09.396678,indodax
188,777752000.0,85.24,2024-02-13 12:00:10.504760,indodax
189,777752000.0,85.24,2024-02-13 12:00:11.663881,indodax
190,777752000.0,85.24,2024-02-13 12:00:12.723933,indodax
191,777752000.0,85.24,2024-02-13 12:00:13.783058,indodax
192,777752000.0,85.24,2024-02-13 12:00:14.864315,indodax
193,777752000.0,85.24,2024-02-13 12:00:15.932031,indodax
194,777009000.0,85.24,2024-02-13 12:00:17.083390,indodax
195,777009000.0,85.24,2024-02-13 12:00:18.216774,indodax
196,777009000.0,85.24,2024-02-13 12:00:19.346084,indodax
197,777009000.0,85.24,2024-02-13 12:00:20.765930,indodax
198,777009000.0,85.24,2024-02-13 12:00:21.855465,indodax
199,777009000.0,85.24,2024-02-13 12:00:22.912069,indodax
200,777009000.0,85.24,2024-02-13 12:00:23.993267,indodax
201,777009000.0,85.24,2024-02-13 12:00:25.157137,indodax
202,777009000.0,85.24,2024-02-13 12:00:26.287454,indodax
203,777752000.0,85.24,2024-02-13 12:00:27.383820,indodax
204,777752000.0,85.24,2024-02-13 12:00:28.498104,indodax
205,777752000.0,85.24,2024-02-13 12:00:29.578517,indodax
206,777752000.0,85.24,2024-02-13 12:00:30.665258,indodax
207,777009000.0,85.24,2024-02-13 12:00:31.755607,indodax
208,777752000.0,85.24,2024-02-13 12:00:32.808381,indodax
209,777752000.0,85.24,2024-02-13 12:00:33.907334,indodax
210,777752000.0,85.24,2024-02-13 12:00:35.004118,indodax
211,777752000.0,85.24,2024-02-13 12:00:36.081174,indodax
212,777752000.0,85.24,2024-02-13 12:00:37.176482,indodax
213,777750000.0,85.24,2024-02-13 12:00:38.299736,indodax
214,777750000.0,85.24,2024-02-13 12:00:39.423911,indodax
215,777750000.0,85.24,2024-02-13 12:00:40.585129,indodax
216,777750000.0,85.24,2024-02-13 12:00:41.642483,indodax
217,777750000.0,85.24,2024-02-13 12:00:42.728551,indodax
218,777750000.0,85.24,2024-02-13 12:00:43.834764,indodax
219,777750000.0,85.24,2024-02-13 12:00:44.888476,indodax
220,777750000.0,85.24,2024-02-13 12:00:46.020879,indodax
221,777750000.0,85.24,2024-02-13 12:00:47.137959,indodax
222,777750000.0,85.24,2024-02-13 12:00:48.208791,indodax
223,777750000.0,85.24,2024-02-13 12:00:49.333866,indodax
224,777010000.0,85.24,2024-02-13 12:00:50.454290,indodax
225,777010000.0,85.24,2024-02-13 12:00:51.496157,indodax
226,777750000.0,85.24,2024-02-13 12:00:52.556941,indodax
227,777010000.0,85.24,2024-02-13 12:00:53.621382,indodax
228,777010000.0,85.24,2024-02-13 12:00:54.746421,indodax
229,777010000.0,85.24,2024-02-13 12:00:55.867893,indodax
230,777010000.0,85.24,2024-02-13 12:00:56.977140,indodax
231,777010000.0,85.24,2024-02-13 12:00:58.067412,indodax
232,777010000.0,85.24,2024-02-13 12:00:59.157768,indodax
233,777010000.0,85.24,2024-02-13 12:01:00.304074,indodax
234,777010000.0,85.24,2024-02-13 12:01:01.368132,indodax
235,777010000.0,85.24,2024-02-13 12:01:02.425718,indodax
236,777749000.0,85.38,2024-02-13 12:01:03.553430,indodax
237,777010000.0,85.24,2024-02-13 12:01:04.653119,indodax
238,777749000.0,85.38,2024-02-13 12:01:05.771553,indodax
239,777749000.0,85.38,2024-02-13 12:01:06.909104,indodax
240,777749000.0,85.38,2024-02-13 12:01:07.981308,indodax
241,777750000.0,85.38,2024-02-13 12:01:09.042868,indodax
242,777750000.0,85.38,2024-02-13 12:01:10.164782,indodax
243,777750000.0,85.38,2024-02-13 12:01:11.315100,indodax
244,777750000.0,85.38,2024-02-13 12:01:12.382684,indodax
245,777750000.0,85.38,2024-02-13 12:01:13.450341,indodax
246,777750000.0,85.38,2024-02-13 12:01:14.496368,indodax
247,777750000.0,85.38,2024-02-13 12:01:15.565580,indodax
248,777751000.0,85.38,2024-02-13 12:01:16.616043,indodax
